Unnamed: 0,NO,Description,Quantity,Unit price,Total Price p,Author,ISBN,Publisher
,79.0,"Learning PHP, MySQL & JavaScript: With jQuery, CSS & HTML5",2.0,48946.0,97891.0,Robin Nixon,9781098152321,O'Reilly Media
,80.0,"Getting Mean with Mongo, Express, Angular, and Node",2.0,50594.0,101187.0,Simon D. Holmes,N/A,Manning Publications
,81.0,JavaScript for impatient programmers,2.0,34114.0,68227.0,Axel Rauschmayer,9781091210097,Amazon Digital Services LLC - Kdp
,82.0,"Web Programming with HTML5, CSS, and JavaScript Pap/Psc Edition,",2.0,149474.0,298947.0,Dean,9781284091793,Jones & Bartlett Learning
,83.0,"Programming JavaScript Applications: Robust Web Architecture with Node, HTML5, and Moderns JS Libraries,",2.0,39058.0,78115.0,Eric Hamilton,9781449320942,"O'Reilly Media, Incorporated"
,84.0,Advanced JavaScript: Speed up web development with the powerful features and benefits of JavaScript,2.0,38234.0,76467.0,Zachary Shute,9781789803891,Packt Publishing
,85.0,Fundamentals of Database Systems. 7th Ed,5.0,260845.0,1304227.0,S. K. Singh,9788131760925,Dorling Kindersley (India)
,86.0,Fundamentals of Database Systems. 5th Ed,5.0,157845.0,789227.0,"Elvis Foster, Shripad Godbole",9781000562125,CRC Press
,87.0,Database Systems 4th Ed,5.0,87805.0,439027.0,"Albert K.W. Yeung, G. Brent Hall, George Brent Hall",9781402053924,Springer Netherlands
,88.0,Database Concepts 8th Ed,5.0,153725.0,768627.0,"Elvis Foster, Shripad Godbole",9781000562125,CRC Press
,89.0,Concepts of Database Management,5.0,116645.0,583227.0,"Philip J. Pratt, Joseph J. Adamski",9780538745321,Cengage Learning
,90.0,"Database Systems: Design, Implementation, & Management",5.0,153725.0,768627.0,"Carlos Coronel, Steven Morris",9780357673034,collection
,91.0,Databases Illuminated,5.0,157845.0,789227.0,Catherine M. Ricardo,9780763733148,collection
,92.0,Computer Networking: A Top-Down Approach (7th Edition),5.0,149605.44,748027.2,"James F. Kurose, Keith W. Ross",9780133594140,Pearson
,93.0,Computer Networks (5th Edition),5.0,150000.0,750000.0,"Andrew S. Tanenbaum, David Wetherall",9781292024226,collection
,94.0,Networking for Beginners,5.0,34245.0,171227.0,Joseph W. Habraken,9780789729118,collection
,95.0,Computer Networking: A Top-Down Approach (6th Edition),5.0,75445.0,377227.0,Andrew T. Shvets,9781484254288,Apress
,96.0,"Computer Networks and Internets, 6Th Edition",5.0,34245.0,171227.0,Douglas Comer,9780136061274,Pearson/Prentice Hall
,97.0,Network Security Essentials Applications and Standards (5th Edition),5.0,162130.0,810651.0,William Stallings,9780273793809,Pearson Education Limited
,98.0,Data communications and Computer Networks: A Business User's Approach,5.0,162789.0,813947.0,Curt White,9781423903031,Cengage Learning
,99.0,Introduction to Computer Networks and Cybersecurity,5.0,145485.0,727427.0,"Chwan-Hwa (John) Wu, J. David Irwin",9781466572140,CRC Press
,100.0,Wireless Networking Absolute Beginner's Guide,5.0,34245.0,171227.0,Michael Miller,9780133381306,collection
,101.0,Data Structures and Algorithms in Java Second Edition,4.0,50017.0,200067.0,Sartaj Sahni,9780929306339,Silicon Press
,102.0,"Code Complete: A Practical Handbook of Software Construction, Second Edition",4.0,70617.0,282467.0,Steve McConnell,9781556154843,collection
,103.0,The Pragmatic Programmer: From Journeyman to Master 1st edition,3.0,85915.0,257746.0,"Andrew Hunt, David Thomas",9780132119177,Pearson Education
,104.0,Principles of Programming: Computer programming for kids and beginners Kindle Edition  ,5.0,31114.0,155571.0,Unknown Author,N/A,collection
,105.0,The C Programming Language (2nd Edition),6.0,71798.0,430786.0,Not Found,N/A,Not Found
,106.0,Learn C the Hard Way,4.0,58257.0,233027.0,Zed Shaw,9780321884923,collection
,107.0,"C Programming: A Modern Approach,2 edition",6.0,154198.0,925186.0,Kim N. King,9780393979503,W.W. Norton
,108.0,Effective Modern C++: 42 Specific Ways to Improve Your Use of C++11 and C++14;1 edition,4.0,58669.0,234675.0,Adam B. Singer,9781484230572,Apress
,109.0,The C++ Programming Language (4th Edition),4.0,70617.0,282467.0,Bjarne Stroustrup,9780133522853,Pearson Education
,110.0,Accelerated C++: Practical Programming by Example; 1 edition,4.0,72347.0,289389.0,Michael D. Adams,9781550585384,Michael Adams
,111.0,Programming: Principles and Practice Using C++; 1 edition ,2.0,26862.0,53725.0,Michael D. Adams,9781550585384,Michael Adams
,112.0,"Java Programming for Kids, Parents and Grandparents (java Kids) by Yuri Fain )",6.0,88278.0,529666.0,Yakov Fain,9780971843950,"Smart Data Processing, Incorporated"
,113.0,Head First Java; 2nd edition ,4.0,111817.0,447267.0,"Kathy Sierra, Bert Bates",9780596800765,collection
,114.0,Head First Design Patterns; 1st edition,4.0,54137.0,216547.0,"Eric Freeman, Elisabeth Robson, Elisabeth Freeman, Kathy Sierra, Bert Bates",9780596007126,collection
,115.0,Effective Java; 3 edition,2.0,50676.0,101352.0,Joshua Bloch,9780134686042,Pearson Education
,116.0,Java Concurrency in Practice; 1 edition ,2.0,46556.0,93112.0,"Brian Goetz, Tim Peierls",9788131735619,Addison Wesley Professional
,117.0,Java Generics and Collections; 1 edition ,4.0,54796.0,219184.0,"Maurice Naftalin, Philip Wadler",9780596527754,O'Reilly
,118.0,Java Performance; 1 edition ,2.0,54714.0,109427.0,"David A. Chappell, Tyler Jewell",9780596002695,O'Reilly
,119.0,Java Puzzlers; 1 edition ,2.0,50676.0,101352.0,Ian F. Darwin,9781492072553,O'Reilly Media
,120.0,Head First Object-Oriented Analysis and Design; 1 edition,4.0,70617.0,282467.0,"Brett McLaughlin, Gary Pollice, David West",9780596008673,collection
,121.0,Thinking in Java; 4 edition ,4.0,78857.0,315427.0,Bruce Eckel,9780131002876,Prentice Hall
,122.0,Java SE 8 for the Really Impatient; 1 edition,2.0,50676.0,101352.0,Cay S. Horstmann,9780133430196,collection
,123.0,"Java in a Nutshell, Édition : 7th Revised edition ",2.0,51418.0,102835.0,"Benjamin J. Evans, David Flanagan",9781492037224,O'Reilly Media
,124.0,Soft Skills: The software developer's life manual ,1.0,46638.0,46638.0,John Z. Sonmez,9781617292392,Manning Publications
,125.0,Android Programming: The Big Nerd Ranch Guide (3rd Edition) ,4.0,70617.0,282467.0,"Bill Phillips, Chris Stewart",9780134171500,Pearson Education
,126.0,Mobile App Development with HTML5 1st Edition By ,2.0,30076.0,60152.0,Richard Rodger,9781118203354,collection
,127.0,Beginning Hybrid Mobile Application Development 1st ed. Edition,2.0,55538.0,111075.0,Mahesh Panhale,9781484213148,collection
,128.0,Getting Started Multimedia Design ,1.0,29994.0,29994.0,"Janine Warner, David LaFontaine",9781118707814,Wiley
,129.0,Designing Brand Identity: An Essential Guide for the Whole Branding Team 3rd Edition,2.0,103330.0,206659.0,Alina Wheeler,9781118431634,Wiley
,130.0,The Elements of Typographic Style: Version 4.0: 20th Anniversary Edition Fourth Edition,1.0,23402.0,23402.0,Renée Stevens,9781681986005,Rocky Nook
,131.0,"The Animator's Survival Kit: A Manual of Methods, Principles and Formulas for Classical, Computer, Games, Stop Motion and Internet Animators; Fourth Edition, Revised edition ",2.0,46474.0,92947.0,"Catherine Winder, Zahra Dowlatabadi",9781136136054,CRC Press
,132.0,Cartoon Animation ( the Collector's Series) Paperback – 1994,2.0,30158.0,60317.0,"Catherine Winder, Zahra Dowlatabadi",9781136136054,CRC Press
,133.0,"Foundations of Embedded Systems (Studies in Systems, Decision and Control) 1st ed. 2019 Edition",4.0,131783.0,527133.0,Unknown Author,9783030133979,Springer International Publishing
,134.0,Embedded System Interfacing: Design for the Internet-of-Things (IoT) and Cyber-Physical Systems (CPS) 1st Edition,4.0,95337.0,381347.0,Peter Marwedel,9783030609108,collection
,135.0,Logic Synthesis for Compositional Microprogram Control Units (Lecture Notes in Electrical Engineering) 2008th Edition,2.0,307334.0,614667.0,"Alexander Barkalov, Larysa Titarenko, Kazimierz Krzywicki",9781040263839,CRC Press
,136.0,Design of Digital Systems and Devices (Lecture Notes in Electrical Engineering) 2011th Edition,2.0,280654.0,561309.0,Unknown Author,9783030002534,collection
,137.0,The Circuit Designer's Companion 2nd Edition,2.0,137524.0,275049.0,Unknown Author,N/A,Unknown Publisher
,138.0,High Speed Digital Design: A Handbook of Black Magic 1st Edition,2.0,153594.0,307187.0,Unknown Author,9781420005967,collection
,,Total,,12438228.44,42658034.2,Not Found,N/A,Not Found
